"time";"h_canopy";"ph_count";"segment_id";"landcover";"h_max_canopy";"h_te_median";"canopy_h_metrics";"extent_id";"cycle";"gt";"canopy_openness";"x_atc";"spot";"veg_ph_count";"h_min_canopy";"solar_elevation";"snowcover";"h_mean_canopy";"rgt";"gnd_ph_count";"class";"vv";"vh";"b2";"b3";"b4";"b8";"b11";"b12";"X";"Y";"rh10";"rh15";"rh20";"rh25";"rh30";"rh35";"rh40";"rh45";"rh50";"rh55";"rh60";"rh65";"rh70";"rh75";"rh80";"rh85";"rh90";"rh95";"rh98";"rh99"
"11";2019-11-08 14:05:01.514;7.1739378;16;67551;40;7.1739378;0;"[1.267786  1.267786  3.4437466 4.483306  4.483306  5.4857264 5.4857264
 6.5435295 6.5435295 6.5435295 6.5435295 6.5435295 7.173938  7.173938
 7.173938  7.173938  7.173938  7.173938  7.173938  7.173938 ]";2936347307085399552;5;40;1.9646224;1354654.6;3;16;0.60564232;-48.957062;1;5.4354887;652;0;5;-6.94585514068604;-13.6047439575195;0.0956500023603439;0.0997999981045723;0.0494499988853931;0.339899986982346;0.131950005888939;0.0425500012934208;102.468554837917;12.1880098057577;"1.267786";"1.267786";"3.4437466";"4.483306";"4.483306";"5.4857264";"5.4857264";"6.5435295";"6.5435295";"6.5435295";"6.5435295";"6.5435295";"7.173938";"7.173938";"7.173938";"7.173938";"7.173938";"7.173938";"7.173938";"7.173938"
"12";2019-11-08 14:05:01.516;7.1603212;17;67552;40;7.1603212;-20.194864;"[1.4911346 1.4911346 3.4341068 3.4341068 3.4341068 5.1237955 5.1237955
 5.1237955 6.0420504 6.0420504 6.0420504 6.0420504 6.0420504 7.160321
 7.160321  7.160321  7.160321  7.160321  7.160321  7.160321 ]";2936347307085399552;5;40;1.7573869;1354668.9;3;16;1.267786;-48.957088;1;5.0241842;652;1;5;-7.83101224899292;-15.4172220230103;0.0949499979615211;0.099250003695488;0.0496499985456467;0.38289999961853;0.138549998402596;0.0445000007748604;102.468541265203;12.1881382740895;"1.4911346";"1.4911346";"3.4341068";"3.4341068";"3.4341068";"5.1237955";"5.1237955";"5.1237955";"6.0420504";"6.0420504";"6.0420504";"6.0420504";"6.0420504";"7.160321";"7.160321";"7.160321";"7.160321";"7.160321";"7.160321";"7.160321"
"13";2019-11-08 14:05:01.519;6.7629709;16;67553;40;6.7629709;-20.194864;"[2.4353733 2.4353733 2.4353733 2.4353733 2.4353733 3.4341068 3.4341068
 3.4341068 4.479562  4.479562  4.479562  4.479562  5.162736  5.162736
 5.162736  5.162736  5.628893  5.628893  6.762971  6.762971 ]";2936347307085399552;5;40;1.4810182;1354690.8;3;15;1.4911346;-48.957115;1;4.0342159;652;1;5;-8.16133785247803;-14.5878095626831;0.100400000810623;0.103000000119209;0.0566999986767769;0.371450006961823;0.162949994206429;0.0558499991893768;102.468520378729;12.1883342201261;"2.4353733";"2.4353733";"2.4353733";"2.4353733";"2.4353733";"3.4341068";"3.4341068";"3.4341068";"4.479562";"4.479562";"4.479562";"4.479562";"5.162736";"5.162736";"5.162736";"5.162736";"5.628893";"5.628893";"6.762971";"6.762971"
"14";2019-11-08 14:05:01.522;5.5209846;21;67554;40;5.5209846;-20.14292;"[1.8412495 1.8412495 1.8412495 1.8412495 1.8412495 1.8412495 1.8412495
 1.8412495 2.6483097 2.6483097 2.6483097 2.6483097 4.00177   4.00177
 4.00177   4.00177   4.479562  4.479562  5.5209846 5.5209846]";2936347307085399552;5;40;1.3047962;1354712.5;3;20;1.0487919;-48.957142;1;2.7493234;652;1;5;-7.55331754684448;-15.0943470001221;0.100550003349781;0.108400002121925;0.0578499995172024;0.410050004720688;0.173549994826317;0.059749998152256;102.468499367175;12.1885303753554;"1.8412495";"1.8412495";"1.8412495";"1.8412495";"1.8412495";"1.8412495";"1.8412495";"1.8412495";"2.6483097";"2.6483097";"2.6483097";"2.6483097";"4.00177";"4.00177";"4.00177";"4.00177";"4.479562";"4.479562";"5.5209846";"5.5209846"
"15";2019-12-07 12:41:02.272;8.6291304;69;67755;40;8.8438921;-19.684938;"[1.6929893 1.6929893 1.6929893 1.6929893 1.6929893 1.6929893 2.5067062
 2.5067062 2.5067062 3.6839886 3.6839886 3.6839886 3.6839886 4.6470003
 4.6470003 4.6470003 6.58414   6.58414   7.4502172 7.4502172]";4926938343456901120;5;60;2.0872629;1358724.5;1;64;0.69611168;-27.588362;1;3.2488084;1094;5;4;-8.68869400024414;-13.7615175247192;0.089599996805191;0.0856499969959259;0.0502000004053116;0.237650007009506;0.114050000905991;0.0431500002741814;102.625163718688;12.2148383776378;"1.6929893";"1.6929893";"1.6929893";"1.6929893";"1.6929893";"1.6929893";"2.5067062";"2.5067062";"2.5067062";"3.6839886";"3.6839886";"3.6839886";"3.6839886";"4.6470003";"4.6470003";"4.6470003";"6.58414";"6.58414";"7.4502172";"7.4502172"
"16";2019-12-07 12:41:02.268;9.0762148;75;67754;40;9.0762148;-19.770384;"[1.6929893 1.6929893 1.6929893 1.6929893 1.6929893 1.6929893 2.5631714
 2.5631714 2.5631714 3.6839886 3.6839886 4.64672   4.64672   5.6713533
 5.6713533 6.532667  6.532667  7.525693  7.525693  7.525693 ]";4926938343456901120;5;60;2.3773215;1358699.5;1;69;0.69611168;-27.588308;1;3.6481278;1094;6;4;-8.55408191680908;-14.1528158187866;0.0899500027298927;0.0840499997138977;0.0484500005841255;0.244550004601479;0.105250000953674;0.0384499989449978;102.625186663145;12.2146126582211;"1.6929893";"1.6929893";"1.6929893";"1.6929893";"1.6929893";"1.6929893";"2.5631714";"2.5631714";"2.5631714";"3.6839886";"3.6839886";"4.64672";"4.64672";"5.6713533";"5.6713533";"6.532667";"6.532667";"7.525693";"7.525693";"7.525693"
"17";2019-12-07 12:41:02.277;7.3880396;67;67757;40;7.3880396;-19.373285;"[1.4950066 1.4950066 1.4950066 1.4950066 2.364294  2.364294  2.364294
 3.2732067 3.2732067 3.2732067 3.2732067 4.5000353 4.5000353 4.5000353
 5.105359  5.105359  5.105359  6.0194416 6.0194416 6.0194416]";4926938343456901120;5;60;1.8100942;1358764;1;61;0.52335548;-27.588469;1;3.190398;1094;6;5;-9.13453483581543;-14.4822864532471;0.0912500023841858;0.0861499980092049;0.0491999983787537;0.255299985408783;0.115000002086163;0.0414500012993813;102.625129093828;12.2151928257789;"1.4950066";"1.4950066";"1.4950066";"1.4950066";"2.364294";"2.364294";"2.364294";"3.2732067";"3.2732067";"3.2732067";"3.2732067";"4.5000353";"4.5000353";"4.5000353";"5.105359";"5.105359";"5.105359";"6.0194416";"6.0194416";"6.0194416"
"18";2019-12-07 12:41:02.274;8.8438921;67;67756;40;8.8438921;-19.600197;"[1.7070808 1.7070808 1.7070808 2.787897  2.787897  2.787897  2.787897
 2.787897  3.8698797 3.8698797 3.8698797 4.6842012 4.6842012 4.6842012
 4.6842012 5.5812817 6.8759174 6.8759174 7.4502172 7.4502172]";4926938343456901120;5;60;1.9691023;1358738.9;1;61;0.88253975;-27.588415;1;3.6465931;1094;6;4;-8.68869400024414;-13.7615175247192;0.089599996805191;0.0856499969959259;0.0502000004053116;0.237650007009506;0.114050000905991;0.0431500002741814;102.625151785513;12.2149674190139;"1.7070808";"1.7070808";"1.7070808";"2.787897";"2.787897";"2.787897";"2.787897";"2.787897";"3.8698797";"3.8698797";"3.8698797";"4.6842012";"4.6842012";"4.6842012";"4.6842012";"5.5812817";"6.8759174";"6.8759174";"7.4502172";"7.4502172"
"19";2019-12-07 12:41:02.26;10.58572;56;67751;40;11.124693;-19.616795;"[ 1.5576019  1.5576019  1.5576019  1.5576019  2.6476269  3.736637
  3.736637   4.683923   4.683923   4.683923   5.67013    5.67013
  6.67937    7.5747347  7.5747347  7.5747347  8.335591   8.335591
 10.58572   10.58572  ]";4926938343456901120;5;60;2.8183002;1358639.6;1;54;0.77172852;-27.58815;1;4.9928489;1094;2;1;-7.90770387649536;-13.8988819122314;0.089649997651577;0.0833000019192696;0.0472000017762184;0.248099997639656;0.096500001847744;0.0349499993026257;102.625242982775;12.2140744906534;"1.5576019";"1.5576019";"1.5576019";"1.5576019";"2.6476269";"3.736637";"3.736637";"4.683923";"4.683923";"4.683923";"5.67013";"5.67013";"6.67937";"7.5747347";"7.5747347";"7.5747347";"8.335591";"8.335591";"10.58572";"10.58572"
"20";2019-12-07 12:41:02.257;9.7367783;61;67750;40;9.7367783;-19.710915;"[1.6129818 1.6129818 1.6129818 1.6129818 2.6476269 2.6476269 3.736637
 3.736637  4.683923  4.683923  5.735214  5.735214  5.735214  6.6288404
 6.6288404 6.6288404 7.2199764 7.2199764 8.692173  8.692173 ]";4926938343456901120;5;60;2.4368699;1358622.8;1;55;0.77172852;-27.588097;1;4.3601356;1094;6;5;-8.71759700775146;-13.0877885818481;0.0891000032424927;0.0844499990344048;0.0467500016093254;0.261700004339218;0.0952000021934509;0.0333999991416931;102.62525931978;12.2139233437716;"1.6129818";"1.6129818";"1.6129818";"1.6129818";"2.6476269";"2.6476269";"3.736637";"3.736637";"4.683923";"4.683923";"5.735214";"5.735214";"5.735214";"6.6288404";"6.6288404";"6.6288404";"7.2199764";"7.2199764";"8.692173";"8.692173"
